Number,Steps
213084,173
90737,84
54825,145
114362,105
128116,48
85705,102
28035,33
406647,112
210347,103
428357,125
216487,217
238931,80
334443,65
22555,69
113236,61
227260,199
254413,132
34198,54
291614,189
294525,70
309599,202
13284,107
424381,125
2112,32
468641,275
121318,87
485135,182
275642,83
402536,68
398800,68
449306,50
131971,100
5888,23
4131,126
246332,212
134003,43
106187,84
290718,96
40649,137
332885,153
219074,142
273488,70
88167,146
69868,55
312394,65
201402,67
297127,171
66806,68
251952,150
88741,94
377682,223
61550,117
118376,74
302063,140
63662,99
87016,71
423380,81
65148,161
379009,104
342267,166
480299,151
328315,184
490589,89
486187,182
332445,78
253272,106
136541,175
454983,107
43990,150
193542,98
287868,189
263063,163
467029,169
376034,60
332931,153
295774,220
93788,133
146409,188
362580,135
345739,197
251501,150
240261,168
407288,86
369876,148
58675,73
487301,151
456891,350
498406,226
52448,109
335900,122
357024,135
32747,72
164214,64
347612,104
35285,49
13010,138
100884,66
171825,77
467992,50
161225,139
365366,179
272211,114
424287,143
348746,166
148245,113
273569,207
144520,51
258384,119
419978,81
23451,131
104122,53
187830,134
280063,176
27761,33
57706,47
355090,96
31414,85
14596,45
353495,104
100213,115
366847,179
226871,186
132959,69
47412,39
90834,84
184595,116
60421,135
208069,129
372772,148
28413,152
369293,179
238137,150
300623,70
293580,158
103235,128
465219,231
83500,89
264106,44
223602,93
19829,136
287556,96
344075,104
207659,111
83970,120
388188,130
265364,132
439059,187
419601,130
296311,145
308906,78
19813,43
179510,103
35776,93
169124,227
226921,124
142961,144
353718,104
287342,145
351030,153
226489,111
332106,140
220322,155
480978,125
149080,95
30253,85
100564,128
130651,69
113753,198
364669,171
354252,166
133581,74
168576,59
214679,124
357591,73
252545,132
119218,118
139306,144
207956,142
38818,168
451969,112
16861,159
74982,50
131478,162
68988,81
244105,62
358398,135
211948,173
114175,110
162091,139
62977,86
357015,166
494196,89
283299,83
354344,135
159628,139
329903,140
454907,107
290278,189
443655,143
335927,135
160881,139
93588,146
20854,110
375559,329
467530,169
273399,207
11128,117
106836,141
497706,89
49945,202
58804,104
30918,147
141279,144
206633,111
99905,89
385383,104
81382,89
328204,184
15909,146
243473,88
407533,86
389276,192
254020,57
207183,85
243619,88
413647,174
37085,93
214878,142
220276,155
480740,169
50804,202
381157,148
90679,208
71658,143
273067,83
58208,166
361408,65
284195,176
181395,90
375465,254
334139,184
240198,67
406382,205
475417,169
463182,107
22638,69
377152,104
44564,70
350841,197
409412,81
304388,57
258373,101
298687,140
74759,94
465555,138
58658,73
4758,77
2640,115
289887,158
225033,137
499731,138
340690,197
106189,97
106761,71
428699,174
379256,78
164968,33
306458,158
163450,152
346363,303
181922,178
13940,182
102912,27
104655,110
5709,28
66094,68
127292,56
399212,205
127009,79
478133,169
324975,96
447748,112
252857,181
140014,206
22506,175
234764,80
198671,116
43615,163
253755,168
488557,182
268648,70
253485,181
345598,122
391188,42
360245,117
290649,101
270443,163
41564,106
113458,61
450244,63
387926,148
311732,202
480536,169
7190,70
416386,143
2596,146
89635,71
43678,176
401807,143
232995,168
21810,69
226781,67
180742,90
291018,70
383146,55
219599,186
25781,25
81816,138
263214,44
279535,238
86724,133
48213,26
49371,158
448674,94
439400,156
425967,311
255674,57
226195,137
467531,169
369131,117
192790,191
371808,55
180862,240
173325,103
378997,86
97248,159
175920,103
468631,107
157277,51
94078,58
201625,67
179086,72
337211,83
398718,192
486455,213
220356,62
118317,97
12236,63
318524,78
397882,161
291770,65
421599,112
446094,94
341141,60
370272,86
401845,68
267107,119
142297,38
128039,87
250989,150
11428,174
320829,171
122797,118
208641,54
10505,148
1793,117
322240,140
186425,147
486776,89
479516,169
296854,158
204752,173
174953,152
134064,162
103470,141
161408,46
354420,197
238138,75
173643,121
172943,196
136019,206
481764,50
94541,84
98464,40
339256,135
481165,94
308,24
122715,87
123461,87
144699,188
373703,210
151240,64
481879,120
12851,125
359881,73
492383,244
30996,54
182120,178
195159,98
17771,71
177988,134
492013,63
238874,75
352940,122
126076,131
342343,166
30699,116
496847,138
80480,45
220693,155
169789,152
232850,137
202457,59
280682,145
331313,122
58064,60
278198,88
347973,135
197130,160
401658,236
492671,182
87185,164
69250,143
490901,63
100035,89
429130,125
483283,213
147382,126
127601,56
194794,160
181504,41
305588,140
186806,85
420378,205
174880,165
329233,91
262720,163
205578,142
326080,78
359552,166
426271,280
12220,94
92401,133
145079,126
292901,176
440066,218
219494,93
87450,164
304390,57
416624,174
5460,15
313412,171
3808,38
74709,37
304312,57
120194,66
20190,149
303946,140
267576,119
147790,219
498739,138
465431,169
469730,200
185544,209
385808,192
144609,188
14777,71
164880,152
366538,148
357208,73
24431,157
309160,127
369427,210
133183,92
454238,156
178680,72
89600,89
190084,85
266129,207
393989,86
106707,97
271588,114
223752,155
126866,61
362648,91
28063,183
263411,150
382837,148
332009,65
47338,101
46979,83
330747,122
12769,156
16708,128
32643,67
414928,174
177668,72
63771,179
79807,76
60557,135
420978,104
120589,92
369717,148
290404,96
270124,62
340306,184
485435,213
376075,148
30389,72
251564,88
270064,88
153447,276
39503,168
493815,182
280312,83
402151,236
38230,80
60075,117
301339,114
386590,47
107412,141
348317,73
233688,230
136532,38
381376,130
266330,57
51460,65
59043,135
346452,47
147618,232
135952,131
283781,145
268207,238
5668,80
74185,156
54682,60
345973,73
75971,107
430756,218
376362,55
327534,140
200819,67
46160,52
383389,99
210986,129
326472,91
301891,109
